Sample.ID,Spp,Quad/circ,Sample.event,Count
North1,tall.coneflower,Circ,July,15
North1,blue.vervain,Circ,July,21
North1,c_horsenettle,Circ,July,3
North1,wild.senna,Circ,July,4
North1,wild.bergamot,Circ,July,8
North1,joe.pye.weed,Circ,July,3
North2,blue.vervain,Circ,July,16
North2,sedge,Circ,July,45
North2,american.water.horehound,Circ,July,5
North3,mountainmint,Circ,July,4
North3,Canada.goldenrod,Circ,July,23
North3,blue.vervain,Circ,July,31
North3,c_horsenettle,Circ,July,4
North4,mountainmint,Circ,July,1
North4,tall.coneflower,Circ,July,5
North4,Canada.goldenrod,Circ,July,12
North4,blue.vervain,Circ,July,5
North4,virginia.wildrye,Circ,July,9
North4,m_rose,Circ,July,3
North5,Canada.goldenrod,Circ,July,43
North5,blue.vervain,Circ,July,35
North5,joe.pye.weed,Circ,July,8
South1,biennial.beeblossom,Circ,July,2
South1,Canada.goldenrod,Circ,July,8
South1,virginia.wildrye,Circ,July,56
South1,wild.bergamot,Circ,July,1
South2,biennial.beeblossom,Circ,July,3
South2,Canada.goldenrod,Circ,July,23
South2,deertongue,Circ,July,48
South2,virginia.wildrye,Circ,July,13
South2,wild.bergamot,Circ,July,8
South3,mountainmint,Circ,July,12
South3,biennial.beeblossom,Circ,July,3
South3,blue.vervain,Circ,July,5
South3,deertongue,Circ,July,41
South3,virginia.wildrye,Circ,July,2
South3,wild.bergamot,Circ,July,1
South4,blue.vervain,Circ,July,22
South4,pokeweed,Circ,July,1
South4,roundhead.lesperdeza,Circ,July,3
South4,switchgrass,Circ,July,1
South5,blue.vervain,Circ,July,6
South5,virginia.wildrye,Circ,July,35
South5,wild.bergamot,Circ,July,17
Contr1,Canada.goldenrod,Circ,July,16
Contr1,pokeweed,Circ,July,72
Contr1,virginia.wildrye,Circ,July,41
Contr2,Canada.goldenrod,Circ,July,32
Contr2,pokeweed,Circ,July,64
Contr2,virginia.wildrye,Circ,July,36
Contr3,Canada.goldenrod,Circ,July,34
