,Species.sitecircrat,Settlers.105.,Wildlife.122.,Riparian.123.,Sedge.180.,Wet.Meadow,Sample.ID,Quad.circ,Sample.event,Count,m2,seeding_success,NSC,Wetland.Indicator,Annual.perennial.biennial,Forbes.grasses.sedge.rush.fern
1,american.water.horehound,747.56725,747.56725,747.56725,747.56725,747.56725,North1,Quad,July,6,6,8.03E-03,North,OBL,P,F
2,aromatic.aster,3078.930331,1625.951973,1625.951973,1729.736141,1625.951973,Contr5,Quad,October,1,1,0.000615024,Contr,FACU,P,F
3,aromatic.aster,3078.930331,1625.951973,1625.951973,1729.736141,1625.951973,Contr1,Quad,October,3,3,0.001845073,Contr,FACU,P,F
4,aromatic.aster,2304.601592,1192.035306,1192.035306,1192.035306,1192.035306,Contr5,Quad,October,1,1,0.000838901,Contr,FACU,P,F
5,aromatic.aster,2304.601592,1192.035306,1192.035306,1192.035306,1192.035306,Contr1,Quad,October,3,3,0.002516704,Contr,FACU,P,F
6,aromatic.aster,2451.283217,1344.252087,1344.252087,1581.473043,1344.252087,Contr1,Quad,October,3,3,0.002231724,Contr,FACU,P,F
7,beebalm,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,FAC,P,F
8,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,South4,Quad,September,1,1,0.01251058,South,FACU,B,F
9,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,South3,Quad,October,16,16,0.200169287,South,FACU,B,F
10,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,South2,Quad,October,8,8,0.100084643,South,FACU,B,F
11,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,North4,Quad,October,6,6,0.075063482,North,FACU,B,F
12,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,South2,Quad,September,1,1,0.01251058,South,FACU,B,F
13,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,North1,Quad,October,6,6,0.075063482,North,FACU,B,F
14,biennial.beeblossom,154.5358624,79.93234261,79.93234261,79.93234261,79.93234261,South5,Quad,July,1,1,0.01251058,South,FACU,B,F
15,blue.false.indigo,89.69917417,51.64497907,51.64497907,67.95391983,51.64497907,South3,Quad,September,1,1,0.019362967,South,FACU,P,F
16,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North3,Quad,July,8,8,0.00028074,North,FACW,P,F
17,blue.vervain,41365.40429,28496.1674,28496.1674,34011.55464,28496.1674,North4,Quad,July,4,4,0.00014037,North,FACW,P,F
